Algorithm 	 TrueGraphID 	 Sample Size 	 AP 	 AR 	 AHP 	 AHR 	 SHD 	 adj F1 	 ah F1
CPC	Graph_100_5017_C	5000	0.7142857142857143	1.0	0.9696969696969697	0.64	117.0	0.8333333333333333	0.7710843373493975
CPC	Graph_100_5018_C	5000	0.7279411764705882	0.99	0.9692307692307692	0.63	114.0	0.8389830508474576	0.7636363636363637
CPC	Graph_100_5019_C	5000	0.7777777777777778	0.98	0.9538461538461539	0.62	97.0	0.8672566371681417	0.7515151515151515
CPC	Graph_100_5020_C	5000	0.7122302158273381	0.99	0.9154929577464789	0.65	118.0	0.8284518828451883	0.7602339181286549
CPC	Graph_100_10001_C	10000	0.8571428571428571	0.96	0.9590163934426229	0.78	88.0	0.9056603773584904	0.8602941176470589
CPC	Graph_100_10002_C	10000	0.8930817610062893	0.9466666666666667	0.912	0.76	82.0	0.9190938511326862	0.8290909090909091
CPC	Graph_100_10003_C	10000	0.8703703703703703	0.94	0.9576271186440678	0.7533333333333333	89.0	0.9038461538461539	0.8432835820895522
CPC	Graph_100_10004_C	10000	0.9032258064516129	0.9333333333333333	0.9824561403508771	0.7466666666666667	78.0	0.9180327868852459	0.8484848484848485
CPC	Graph_100_10005_C	10000	0.8711656441717791	0.9466666666666667	0.9206349206349206	0.7733333333333333	88.0	0.9073482428115016	0.8405797101449275
CPC	Graph_100_10006_C	10000	0.8888888888888888	0.96	1.0	0.7666666666666667	77.0	0.923076923076923	0.8679245283018869
CPC	Graph_100_10007_C	10000	0.8947368421052632	0.9066666666666666	0.9553571428571429	0.7133333333333334	90.0	0.9006622516556291	0.816793893129771
CPC	Graph_100_10008_C	10000	0.852760736196319	0.9266666666666666	0.9090909090909091	0.7333333333333333	103.0	0.888178913738019	0.8118081180811808
CPC	Graph_100_10009_C	10000	0.8597560975609756	0.94	0.9655172413793104	0.7466666666666667	95.0	0.8980891719745222	0.8421052631578948
CPC	Graph_100_10010_C	10000	0.8633540372670807	0.9266666666666666	0.940677966101695	0.74	95.0	0.8938906752411575	0.828358208955224
CPC	Graph_100_10011_C	10000	0.8343558282208589	0.9066666666666666	0.8536585365853658	0.7	117.0	0.8690095846645367	0.7692307692307692
CPC	Graph_100_10012_C	10000	0.8881987577639752	0.9533333333333334	0.9262295081967213	0.7533333333333333	83.0	0.9196141479099679	0.8308823529411764
CPC	Graph_100_10013_C	10000	0.875	0.9333333333333333	0.9642857142857143	0.72	92.0	0.9032258064516129	0.8244274809160306
CPC	Graph_100_10014_C	10000	0.8860759493670886	0.9333333333333333	0.9491525423728814	0.7466666666666667	86.0	0.9090909090909091	0.8358208955223881
CPC	Graph_100_10015_C	10000	0.9166666666666666	0.9533333333333334	0.9826086956521739	0.7533333333333333	71.0	0.934640522875817	0.8528301886792453
CPC	Graph_100_10016_C	10000	0.8774193548387097	0.9066666666666666	0.9391304347826087	0.72	94.0	0.8918032786885245	0.8150943396226416
CPC	Graph_100_10017_C	10000	0.8980891719745223	0.94	0.9736842105263158	0.74	80.0	0.9185667752442996	0.8409090909090909
