Algorithm 	 TrueGraphID 	 Sample Size 	 Alpha/Penalty 	 AP 	 AR 	 AHP 	 AHR,	 SHD 	 adj F1 	 ah F1
CPC	Graph_100_114_C	100	0.01	0.9885057471264368	0.5733333333333334	0.9473684210526315	0.24	182.0	0.7257383966244726	0.38297872340425526
CPC	Graph_100_114_C	100	0.03	0.9591836734693877	0.6266666666666667	0.9361702127659575	0.29333333333333333	172.0	0.7580645161290323	0.44670050761421315
CPC	Graph_100_114_C	100	0.05	0.9504950495049505	0.64	0.9433962264150944	0.3333333333333333	166.0	0.7649402390438247	0.49261083743842365
CPC	Graph_100_114_C	100	0.08	0.8990825688073395	0.6533333333333333	0.9433962264150944	0.3333333333333333	176.0	0.7567567567567568	0.49261083743842365
CPC	Graph_100_114_C	100	0.1	0.8859649122807017	0.6733333333333333	0.9298245614035088	0.35333333333333333	175.0	0.7651515151515151	0.5120772946859903
CPC	Graph_100_115_C	100	1.0E-4	1.0	0.35333333333333333	1.0	0.04	241.0	0.5221674876847291	0.07692307692307693
CPC	Graph_100_115_C	100	0.001	0.9836065573770492	0.4	0.9166666666666666	0.07333333333333333	232.0	0.5687203791469194	0.1358024691358025
CPC	Graph_100_115_C	100	0.01	0.975609756097561	0.5333333333333333	0.875	0.18666666666666668	200.0	0.689655172413793	0.30769230769230765
CPC	Graph_100_115_C	100	0.03	0.9484536082474226	0.6133333333333333	0.8666666666666667	0.26	185.0	0.7449392712550608	0.4
CPC	Graph_100_115_C	100	0.05	0.8878504672897196	0.6333333333333333	0.9183673469387755	0.3	188.0	0.7392996108949417	0.4522613065326633
CPC	Graph_100_115_C	100	0.08	0.8114754098360656	0.66	0.9272727272727272	0.34	200.0	0.7279411764705883	0.49756097560975604
CPC	Graph_100_115_C	100	0.1	0.8046875	0.6866666666666666	0.8787878787878788	0.38666666666666666	196.0	0.7410071942446043	0.537037037037037
CPC	Graph_100_116_C	100	1.0E-4	0.9846153846153847	0.4266666666666667	0.9	0.06	230.0	0.5953488372093023	0.1125
CPC	Graph_100_116_C	100	0.001	0.9861111111111112	0.47333333333333333	0.9375	0.1	217.0	0.6396396396396395	0.18072289156626503
CPC	Graph_100_116_C	100	0.01	0.9545454545454546	0.56	0.9722222222222222	0.23333333333333334	190.0	0.7058823529411766	0.37634408602150543
CPC	Graph_100_116_C	100	0.03	0.9038461538461539	0.6266666666666667	0.9787234042553191	0.30666666666666664	181.0	0.7401574803149606	0.467005076142132
CPC	Graph_100_116_C	100	0.05	0.8899082568807339	0.6466666666666666	0.9811320754716981	0.3466666666666667	175.0	0.749034749034749	0.5123152709359606
CPC	Graph_100_116_C	100	0.08	0.8333333333333334	0.6666666666666666	0.9655172413793104	0.37333333333333335	184.0	0.7407407407407408	0.5384615384615384
CPC	Graph_100_116_C	100	0.1	0.8188976377952756	0.6933333333333334	0.9384615384615385	0.4066666666666667	183.0	0.7509025270758124	0.5674418604651162
CPC	Graph_100_117_C	100	1.0E-4	1.0	0.36666666666666664	0.8333333333333334	0.03333333333333333	241.0	0.5365853658536585	0.06410256410256411
CPC	Graph_100_117_C	100	0.001	0.9692307692307692	0.42	0.875	0.04666666666666667	235.0	0.5860465116279069	0.08860759493670886
CPC	Graph_100_117_C	100	0.01	0.9655172413793104	0.56	0.896551724137931	0.17333333333333334	197.0	0.7088607594936709	0.2905027932960894
CPC	Graph_100_117_C	100	0.03	0.9489795918367347	0.62	0.925	0.24666666666666667	181.0	0.75	0.38947368421052636
CPC	Graph_100_117_C	100	0.05	0.8703703703703703	0.6266666666666667	0.9318181818181818	0.2733333333333333	194.0	0.7286821705426356	0.42268041237113396
CPC	Graph_100_117_C	100	0.08	0.8347826086956521	0.64	0.8947368421052632	0.34	194.0	0.7245283018867924	0.4927536231884058
CPC	Graph_100_117_C	100	0.1	0.7804878048780488	0.64	0.8333333333333334	0.3333333333333333	214.0	0.7032967032967035	0.47619047619047616
CPC	Graph_100_118_C	100	1.0E-4	0.9824561403508771	0.37333333333333335	1.0	0.09333333333333334	232.0	0.5410628019323672	0.17073170731707318
CPC	Graph_100_118_C	100	0.001	0.9692307692307692	0.42	1.0	0.10666666666666667	225.0	0.5860465116279069	0.1927710843373494
CPC	Graph_100_118_C	100	0.01	0.95	0.5066666666666667	1.0	0.18666666666666668	204.0	0.6608695652173914	0.3146067415730337
CPC	Graph_100_118_C	100	0.03	0.9230769230769231	0.56	0.9714285714285714	0.22666666666666666	197.0	0.6970954356846474	0.36756756756756753
CPC	Graph_100_118_C	100	0.05	0.8627450980392157	0.5866666666666667	0.9743589743589743	0.25333333333333335	203.0	0.6984126984126984	0.40211640211640215
CPC	Graph_100_118_C	100	0.08	0.811965811965812	0.6333333333333333	0.9375	0.3	205.0	0.7116104868913857	0.45454545454545453
CPC	Graph_100_118_C	100	0.1	0.782258064516129	0.6466666666666666	0.9107142857142857	0.34	207.0	0.7080291970802919	0.4951456310679612
CPC	Graph_100_119_C	100	1.0E-4	1.0	0.3933333333333333	1.0	0.08	229.0	0.5645933014354066	0.14814814814814814
CPC	Graph_100_119_C	100	0.001	0.9864864864864865	0.4866666666666667	1.0	0.11333333333333333	212.0	0.6517857142857143	0.20359281437125748
CPC	Graph_100_119_C	100	0.01	0.9885057471264368	0.5733333333333334	0.8604651162790697	0.24666666666666667	183.0	0.7257383966244726	0.383419689119171
CPC	Graph_100_119_C	100	0.03	0.9696969696969697	0.64	0.8867924528301887	0.31333333333333335	167.0	0.7710843373493975	0.4630541871921182
CPC	Graph_100_119_C	100	0.05	0.9528301886792453	0.6733333333333333	0.9016393442622951	0.36666666666666664	158.0	0.7890625	0.5213270142180095
CPC	Graph_100_119_C	100	0.08	0.8728813559322034	0.6866666666666666	0.9322033898305084	0.36666666666666664	176.0	0.7686567164179104	0.5263157894736842
CPC	Graph_100_119_C	100	0.1	0.8387096774193549	0.6933333333333334	0.9354838709677419	0.38666666666666666	182.0	0.7591240875912408	0.5471698113207547
CPC	Graph_100_120_C	100	1.0E-4	0.9838709677419355	0.4066666666666667	0.9	0.06	233.0	0.5754716981132075	0.1125
CPC	Graph_100_120_C	100	0.001	0.9855072463768116	0.4533333333333333	0.9545454545454546	0.14	214.0	0.6210045662100456	0.24418604651162792
CPC	Graph_100_120_C	100	0.01	0.9166666666666666	0.5133333333333333	0.9375	0.2	209.0	0.6581196581196581	0.32967032967032966
CPC	Graph_100_120_C	100	0.03	0.875	0.56	0.8837209302325582	0.25333333333333335	207.0	0.6829268292682927	0.39378238341968913
