GraphID, DataSetID, Algorithm, Elapsed Time
Graph_5002, DataSet_100_5002, PC Stable, 0.015206145 s
Graph_5003, DataSet_100_5003, PC Max, 0.020784055 s
Graph_5003, DataSet_100_5003, PC Stable, 0.01476395 s
Graph_5004, DataSet_100_5004, PC Max, 0.019711068 s
Graph_5004, DataSet_100_5004, PC Stable, 0.01500087 s
Graph_5005, DataSet_100_5005, PC Max, 0.01949168 s
Graph_5005, DataSet_100_5005, PC Stable, 0.015868156 s
Graph_5006, DataSet_100_5006, PC Max, 0.021518339 s
Graph_5006, DataSet_100_5006, PC Stable, 0.015529025 s
Graph_5007, DataSet_100_5007, PC Max, 0.020575359 s
Graph_5007, DataSet_100_5007, PC Stable, 0.015519189 s
Graph_5008, DataSet_100_5008, PC Max, 0.020417982 s
Graph_5008, DataSet_100_5008, PC Stable, 0.018500803 s
Graph_5009, DataSet_100_5009, PC Max, 0.021172793 s
Graph_5009, DataSet_100_5009, PC Stable, 0.018765094 s
Graph_5010, DataSet_100_5010, PC Max, 0.019752977 s
Graph_5010, DataSet_100_5010, PC Stable, 0.014777634 s
Graph_5011, DataSet_100_5011, PC Max, 0.020369657 s
Graph_5011, DataSet_100_5011, PC Stable, 0.016248769 s
Graph_5012, DataSet_100_5012, PC Max, 0.019088401 s
Graph_5012, DataSet_100_5012, PC Stable, 0.014038218 s
Graph_5013, DataSet_100_5013, PC Max, 0.019592179 s
Graph_5013, DataSet_100_5013, PC Stable, 0.015908355 s
Graph_5014, DataSet_100_5014, PC Max, 0.018461886 s
Graph_5014, DataSet_100_5014, PC Stable, 0.015138148 s
Graph_5015, DataSet_100_5015, PC Max, 0.020283271 s
Graph_5015, DataSet_100_5015, PC Stable, 0.015657749 s
Graph_5016, DataSet_100_5016, PC Max, 0.019864168 s
Graph_5016, DataSet_100_5016, PC Stable, 0.014924748 s
Graph_5017, DataSet_100_5017, PC Max, 0.019438223 s
Graph_5017, DataSet_100_5017, PC Stable, 0.014690392 s
Graph_5018, DataSet_100_5018, PC Max, 0.018413988 s
Graph_5018, DataSet_100_5018, PC Stable, 0.016163238 s
Graph_5019, DataSet_100_5019, PC Max, 0.018936155 s
Graph_5019, DataSet_100_5019, PC Stable, 0.016315056 s
Graph_5020, DataSet_100_5020, PC Max, 0.019425821 s
Graph_5020, DataSet_100_5020, PC Stable, 0.017657894 s
Graph_5001, DataSet_100_5001, FGES, 0.200169694 s
Graph_5002, DataSet_100_5002, FGES, 0.202930637 s
Graph_5003, DataSet_100_5003, FGES, 0.183249934 s
Graph_5004, DataSet_100_5004, FGES, 0.189179804 s
Graph_5005, DataSet_100_5005, FGES, 0.258352218 s
Graph_5006, DataSet_100_5006, FGES, 0.236177 s
Graph_5007, DataSet_100_5007, FGES, 0.22270457 s
Graph_5008, DataSet_100_5008, FGES, 0.239781708 s
Graph_5009, DataSet_100_5009, FGES, 0.21124597 s
Graph_5010, DataSet_100_5010, FGES, 0.223017187 s
Graph_5011, DataSet_100_5011, FGES, 0.192571967 s
Graph_5012, DataSet_100_5012, FGES, 0.273108469 s
Graph_5013, DataSet_100_5013, FGES, 0.27628766 s
Graph_5014, DataSet_100_5014, FGES, 0.282242334 s
Graph_5015, DataSet_100_5015, FGES, 0.19169399 s
Graph_5016, DataSet_100_5016, FGES, 0.226787397 s
Graph_5017, DataSet_100_5017, FGES, 0.273917593 s
Graph_5018, DataSet_100_5018, FGES, 0.201088725 s
Graph_5019, DataSet_100_5019, FGES, 0.218685464 s
Graph_5020, DataSet_100_5020, FGES, 0.288897936 s
